lang,repos
JavaScript,271662
Ruby,224392
Java,161777
PHP,118918
Python,98510
C++,80353
C,69350
Objective-C,37231
C#,33101
Shell,29763
CSS,20442
Perl,16017
CoffeeScript,11686
VimL,7997
Scala,7196
Go,7169
Prolog,5845
Clojure,5051
Haskell,4892
Lua,4207
Puppet,3599
Groovy,3494
R,3071
Emacs Lisp,3056
Matlab,2476
ActionScript,2476
Arduino,2280
Erlang,2126
OCaml,2119
Visual Basic,1919
ASP,1285
Processing,1239
Common Lisp,1184
Logos,1070
Assembly,1063
TypeScript,1035
D,997
Dart,970
Delphi,946
Scheme,910
FORTRAN,831
PowerShell,790
XML,633
Racket,620
Elixir,597
XSLT,524
ColdFusion,514
Apex,505
F#,480
Haxe,467
